"German,English,Type,Level"
"der Abend,evening,N,E"
"das Abendbrot,evening meal,N,M"
"abfahren,to depart,V,M"
"die Adresse,address,N,E"
"der Kranz,wreath,N,H"
"abwaschen,to do dishes,V,M"
"ähnlich,""like, similar"",A,H"
"allein,alone,A,E"
"also,""well, so, then,therefore"",M,E"
"als,""when, than, as"",M,M"
"alt,old,A,E"
"die Ampel,""traffic lights,stoplight,streetlight,street lights,streetlights"",N,E"
"an,""at, on, to"",M,E"
" anfangen,to begin,V,E"
" angeln,""to go fishing, to fish"",V,M"
" anhalten,to stop,V,M"
" anmachen,to turn on,V,E"
" anprobieren,to try on,V,E"
" anrufen,""to phone, ring up, to call"",V,E"
" antworten,to answer,V,E"
"sich anziehen,""to get dressed, to dress, to put on, to dress onesself"",V,E"
"der Apfel,apple,N,E"
"die Apotheke,pharmacy,N,E"
" arbeiten,to work,V,E"
" arm,poor,A,E"
"der Arzt,""male doctor,doctor"",N,E"
" auch,""also,as well, too"",M,E"
"die Aufgabe,""chores, work"",N,M"
" aufmachen,to open,V,E"
" aufpassen,""to pay attention,to take care"",V,H"
" aufräumen,""to tidy up, to clean up"",V,M"
"der Aufschnitt,""cold sliced meat, sliced meat, cold slices of meat"",N,M"
" aufstehen,""to get up, to stand up"",V,M"
" aufwachen,to wake up,V,M"
"das Auge,eye,N,E"
" ausgeben,to spend money,V,H"
" ausgehen,to go out,V,M"
"das Ausland,""abroad, overseas"",N,E"
" aussehen,to look like,V,M"
"die Aussicht,view,N,M"
" aussteigen,""to get out, to climb out"",V,M"
"sich ausziehen,""to get undressed, to undress"",V,E"
"das Auto,car,N,E"
"die Bäckerei,bakery,N,E"
"das Bad,bath,N,E"
"der Bahnhof,""station, train station, bus station"",N,E"
" bald,soon,M,E"
" basteln,""to handcraft, to make by hand, to hand craft"",V,H"
"der Bauch,stomach,N,E"
"der Baum,tree,N,E"
" beide,both,M,E"
"das Bein,leg,N,E"
" bekannt,""well-known, known"",A,M"
" bekommen,to receive,V,M"
" beliebt,popular,A,H"
" bequem,comfortable,A,E"
"der Berg,mountain,N,E"
" beschreiben,to describe,V,M"
" besonders,especially,M,M"
" besuchen,to visit,V,E"
"das Bett,bed,N,E"
" bevor,before,A,E"
" bezahlen,to pay,V,E"
"bezüglich,""in terms of, in regards to, relating to"",M,H"
"das Bier,beer,N,E"
"das Bild,picture,N,E"
" billig,cheap,A,E"
" bitte,please,M,E"
" blau,blue,A,E"
" bleiben,to stay,V,E"
" blöd,stupid,A,M"
"die Blume,flower,N,E"
"das Boot,boat,N,M"
" böse,""angry, cross, evil, bad"",A,E"
" braten,""to fry, to roast"",V,E"
" brauchen,to need,V,E"
" braun,brown,A,E"
" brechen,to break,V,H"
"der Brief,letter,N,E"
"die Brille,""pair of glasses,glasses"",N,E"
